Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
FOXO1,forkhead box O1,2308,13:40555680-40666212,13q14.1,yes,,alveolar rhabdomyosarcoma,,,M,Dom,oncogene/TSG,T,"PAX3, PAX7",,,"FOXO1A,Q12778,FOXO1,FKHR,FKH1,ENSG00000150907,FOXO1A,2308"
FOXO3,forkhead box O3,2309,6:108561209-108664855,6q21,yes,,AL,,,L,Dom,oncogene/TSG,T,KMT2A,,,"2309,FKHRL1,DKFZp781A0677,FKHRL1P2,AF6q21,O43524,FOXO3A,FOXO2,MGC12739,MGC31925,ENSG00000118689,FOXO3"
FOXO4,forkhead box O4,4303,X:71096529-71102084,Xq13.1,yes,,AL,,,L,Dom,oncogene/TSG,T,KMT2A,,,"MLLT7,P98177,AFX1,MLLT7,ENSG00000184481,4303"
FOXO4,forkhead box O4,4303,X:71096529-71102084,Xq13.1,yes,,soft tissue sarcoma,,,M,Dom,oncogene/TSG,T,CIC,,,"MLLT7,P98177,AFX1,MLLT7,ENSG00000184481,4303"
FOXP1,forkhead box P1,27086,3:70959247-71198381,3p14.1,yes,,ALL,,,L,Dom,oncogene,T,PAX5,,,"27086,MGC12942,MGC88572,HSPC215,12CC4,QRF1,FLJ23741,MGC99551,hFKH1B,ENSG00000114861,FOXP1"
FSTL3,follistatin-like 3 (secreted glycoprotein),10272,19:676425-681709,19p13,yes,,B-CLL,,,L,Dom,,T,CCND1,,,"FSTL3,FLRG,O95633,ENSG00000070404,10272"
FUBP1,far upstream element (FUSE) binding protein 1,8880,1:77949146-77979004,1p13.1,yes,,oligodendroglioma,,,O,Rec,,"F, N",,,,"FUBP1,FBP,FUBP,ENSG00000162613,8880"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",2521,16:31180215-31191438,16p11.2,yes,,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,oncogene,T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2",,,"2521,P35637,TLS,FUS1,CHOP,FUS-CHOP,TLS/CHOP,ENSG00000089280,FUS"
GAS7,growth arrest-specific 7,8522,17:9917228-10198390,17p,yes,,AML*,,,L,Dom,,T,KMT2A,,,"8522,O60861,KIAA0394,MLL/GAS7,MGC1348,ENSG00000007237,GAS7"
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,X:48791110-48794164,Xp11.23,yes,,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,oncogene/TSG,"Mis, F",,,,"P15976,ERYF1,GF1,NFE1,ENSG00000102145,2623,GATA1"
GATA2,GATA binding protein 2,2624,3:128481019-128487031,3q21.3,yes,,AML (CML blast transformation),,,L,Dom,oncogene,Mis,,,,"GATA2,NFE1B,P23769,MGC2306,ENSG00000179348,2624"
GATA3,GATA binding protein 3,2625,10:8055656-8074023,10p15,yes,,breast,,,E,Rec,oncogene/TSG,"F, N, S",,yes,"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)","GATA3,HDR,MGC2346,MGC5199,MGC5445,ENSG00000107485,2625"
GMPS,guanine monphosphate synthetase,8833,3:155870871-155937692,3q24,yes,,AML,,,L,Dom,,T,KMT2A,,,"GMPS,ENSG00000163655,8833"
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",2767,19:3094652-3121179,19p13.3,yes,,uveal melanoma,,,E,Dom,,Mis,,,,"GNA11,GNA-11,ENSG00000088256,2767"
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",2776,9:77721323-78031235,9q21,yes,,uveal melanoma,,,E,Dom,,Mis,,,,"2776,P50148,GAQ,RP11-494N1_1,G-ALPHA-q,ENSG00000156052,GNAQ"
GNAS,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1",2778,20:58891727-58910829,20q13.2,yes,,pituitary adenoma,,,E,Dom,,Mis,,yes,"McCune-Albright syndrome; pseudohypoparathyroidism, type IA","2778,RP4-543J19_4,PHP1B,XLalphas,AHO,GSA,PHP1A,XL,MGC33735,XL2,dJ806M20_3_3,Gnas,GPSA,SCG6,dJ309F20_1_1,C20orf45,GNAS1,GNASXL,POH,GSP,NESP,NESP55,ENSG00000087460,GNAS"
GOLGA5,"golgi autoantigen, golgin subfamily a, 5  (PTC5)",9950,14:92797439-92839447,14q,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,RET,,,"GOLGA5,ret-II,Q8TBA6,golgin-84,rfg5,ENSG00000066455,9950"
GOPC,golgi associated PDZ and coiled-coil motif containing,57120,6:117563254-117602288,6q21,yes,,"glioblastoma, cholangiocarcinoma, borderline ovarian",,,"E, O",Dom,,T,ROS1,,,"57120,FIG,dJ94G16_2 PIST,CAL,Q9HD26,GOPC1,ENSG00000047932,GOPC"
GPC3,glypican 3,2719,X:133536124-133985449,Xq26.1,,yes,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,,"T, D, Mis, N, F, S",,,,"GPC3,OCI-5,SGBS1,AC002420_1,P51654,SDYS,DGSX,SGB,SGBS,ENSG00000147257,2719"
GPHN,gephyrin (GPH),10243,14:66508529-67180938,14q24,yes,,AL,,,L,Dom,,T,KMT2A,,,"10243,ENSG00000171723,GPHN"
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",2903,16:9763149-10180411,16p13.2,yes,,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,,E,Rec,,"Mis, N, F, O",,yes,Focal epilepsy and speech disorder with or without mental retardation,"2903,Q12879,NR2A,NMDAR2A,ENSG00000183454,GRIN2A"
H3F3A,"H3 histone, family 3A",3020,1:226064352-226071479,1q42.12,yes,,glioma,,,O,Dom,,Mis,,,,"P84243,H3F3A,3020,ENSG00000163041,H3_3A,H3F3,MGC87782,MGC87783,H3_3B,H3F3A"
H3F3B,"H3 histone, family 3B (H3.3B)",3021,17:75778595-75779174,17q25.1,yes,,chondroblastoma,,,M,Dom,,Mis,,,,"3021,H3_3A,H3F3,MGC87782,MGC87783,H3_3B,P84243,ENSG00000132475,H3F3B"
HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",9709,16:56932245-56943290,16q12.2-q13,yes,,prostate,,,E,Dom,,T,ERG,,,"9709,ENSG00000051108,HERP,KIAA0025,Mif1,SUP,Q15011,HERPUD1"
HEY1,hairy/enhancer-of-split related with YRPW motif 1,23462,8:79765188-79767663,8q21,yes,,mesenchymal chondrosarcoma,,,M,Dom,,T,NCOA2,,,"HEY1,CHF-2,HERP2,OAF1,HRT-1,MGC1274,HESR-1,CHF2,HESR1,ENSG00000164683,23462"
HIF1A,hypoxia inducible factor 1 alpha subunit,3091,14:61695805-61747085,14q23.2,yes,,"renal , lung, colon, pancreatic, glioblastoma",,,E,Dom,oncogene,"Mis, F, N",,,,"3091,Q16665,HIF-1alpha,PASD8,HIF1-ALPHA,MOP1,ENSG00000100644,HIF1A"
HIP1,huntingtin interacting protein 1,3092,7:75538172-75738920,7q11.23,yes,,"CMML, NSCLC",,,"L, E",Dom,,T,"PDGFRB, ALK",,,"HIP1,ILWEQ,ENSG00000127946,3092"
HIST1H3B,"histone cluster 1, H3b",8358,6:26031650-26032060,6p22.1,yes,,glioma,,,O,Dom,,Mis,,,,"H3_1,HIST1H3B,8358,ENSG00000124693,H3/A,H3FA,H3/l,H3FL,H3/c,H3FC,H3/b,H3FB,H3/d,H3FD,H3/i,H3FI,H3/h,H3FH,H3/k,H3F1K,H3FK,H3_f,H3/f,H3FF,H3/j,H3FJ,P68431"
HIST1H4I,"histone 1, H4i (H4FM)",8294,6:27107089-27107660,6p21.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"8294,MGC24116,P62805,HIST1H4I"
HLA-A,"major histocompatibility complex, class I, A",3105,6:29942554-29945455,6p21.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,yes,Carbamazepine-induced hypersensitivity syndrome,"HLA-A,P01892,P04439,P13746,P30447,P16188,ENSG00000206503,3105"
HLF,hepatic leukemia factor,3131,17:55265486-55320880,17q22,yes,,ALL,,,L,Dom,oncogene,T,TCF3,,,"3131,Q16534,ENSG00000108924,HLF"
HMGA1,high mobility group AT-hook 1,3159,6:34240781-34244884,6p21,yes,,"microfollicular thyroid adenoma, various benign mesenchymal tumours",,,"E, M",Dom,,T,?,,,"3159,MGC4242,HMG-R,MGC4854,P17096,HMGIY,MGC12816,ENSG00000137309,HMGA1"
HMGA2,high mobility group AT-hook 2 (HMGIC),8091,12:65825271-65963292,12q15,yes,,"lipoma, leiomyoma, pleomorphic salivary gland adenoma",,,M,Dom,oncogene,T,"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT",,,"HMGA2,HMGI-C,BABL,HMGIC,LIPO,ENSG00000149948,8091"
HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46,283651,15:-,15q21.1,yes,,prostate,,,E,Dom,,T,ETV1,,,
HNF1A,HNF1 homeobox A,6927,12:120978769-121001192,12q24.2,yes,yes,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma",familial hepatic adenoma,E,Rec,,"Mis, F",,yes,"Maturity-onset diabetes of the young, TYPE III","6927,HNF1,LFB1,P20823,HNF1A,MODY3,TCF1,ENSG00000135100,TCF1"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,7:26190125-26200577,7p15,yes,,prostate,,,E,Dom,,T,ETV1,,,"HNRNPA2B1,ENSG00000122566,3181,HNRNPA2,HNRNPB1,HNRPA2,HNRPB1,RNPA2,SNRPB1"
HOOK3,hook homolog 3,84376,8:42897132-43018498,8p11.21,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"84376,ENSG00000168172,Q86VS8,HOOK3"
HOXA11,homeo box A11,3207,7:27182796-27185144,7p15-p14.2,yes,,CML,,,L,Dom,oncogene,T,NUP98,,,"3207,HOX1,P31270,HOX1I,ENSG00000005073,HOXA11"
HOXA13,homeo box A13,3209,7:27198198-27200077,7p15-p14.2,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"HOXA13,P31271,HOX1,HOX1J,ENSG00000106031,3209"
HOXA9,homeo box A9,3205,7:27163603-27165457,7p15-p14.2,yes,,AML*,,,L,Dom,oncogene,T,"NUP98, MSI2",,,"3205,HOX1,P31269,HOX1G,ENSG00000078399,HOXA9"
HOXC11,homeo box C11,3227,12:53973243-53975414,12q13.3,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"3227,HOX3H,O43248,ENSG00000123388,HOXC11"
HOXC13,homeo box C13,3229,12:53938908-53945257,12q13.3,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"3229,HOX3G,HOX3,P31276,ENSG00000123364,HOXC13"
HOXD11,homeo box D11,3237,2:176107357-176109143,2q31-q32,yes,,AML,,,L,Dom,oncogene,T,NUP98,,,"3237,ENSG00000128713,HOXD11"
HOXD13,homeo box D13,3239,2:176092916-176094731,2q31-q32,yes,,AML*,,,L,Dom,oncogene,T,NUP98,,,"3239,SPD,HOX4I,P35453,HOXD13"
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,3265,11:532636-534322,11p15.5,yes,yes,"infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder",Costello syndrome,"E, L, M",Dom,oncogene,Mis,,,,"3265,K-ras,N-ras,P01112,c-bas/has,RASH1,HRAS1,ENSG00000174775,HRAS"
HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,14:102081712-102139404,14q32.33,yes,,NHL,,,L,Dom,,T,BCL6,,,"3320,ENSG00000080824,FLJ31884,HSP86,Hsp89,Hsp90,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,LAP2,P07900,HSP90AA1"
HSP90AB1,"heat shock protein 90kDa alpha (cytosolic), class B member 1",3326,6:44248630-44253598,6p12,yes,,NHL,,,L,Dom,,T,BCL6,,,"HSP90AB1,HSPCB,FLJ26984,HSPC2,D6S182,P08238,HSP90-BETA,HSP90B,ENSG00000096384,3326"
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",3417,2:208237079-208251551,2q33.3,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"3417,IDP,O75874,PICD,IDH,ENSG00000138413,IDH1"
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",3418,15:90084266-90102390,15q26.1,yes,,glioblastoma,,,O,Dom,oncogene,Mis,,,,"IDH2,P48735,ICD-M,IDP,IDH,mNADP-IDH,IDHM,ENSG00000182054,3418"
IGH,immunoglobulin heavy locus,3492,14:-,14q32.33,yes,,"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS",,,L,Dom,,T,"MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2",,,
IGK,immunoglobulin kappa locus,50802,2:-,2p12,yes,,"Burkitt lymphoma, B-NHL",,,L,Dom,,T,"MYC, KDSR",,,
IGL,immunoglobulin lambda locus,3535,22:-,22q11.2,yes,,Burkitt lymphoma,,,L,Dom,,T,"BCL9, MYC, CCND2",,,
IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",3551,8:42272100-42330979,8p11.2,yes,,SMZL,,,L,Dom,,Mis,,yes,Immunodeficiency 15,"IKBKB,O14920,ENSG00000104365,3551"
IKZF1,IKAROS family zinc finger 1,10320,7:50319062-50400628,7p12.2,yes,,"ALL, DLBCL",,,L,Dom/Rec,TSG,"D,T",BCL6,,,"10320,LyF-1,IKAROS,ZNFN1A1,hIk-1,Hs_54452,Q13422,ENSG00000185811,IKZF1"
IL2,interleukin 2,3558,4:122451752-122456440,4q26-q27,yes,,intestinal T-cell lymphoma,,,L,Dom,,T,TNFRSF17,,,"3558,IL-2,P60568,ENSG00000109471,IL2"
IL21R,interleukin 21 receptor,50615,16:27430073-27449284,16p11,yes,,NHL,,,L,Dom,,T,BCL6,,,"IL21R,Q9HBE5,ENSG00000103522,50615"
IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",3572,5:55941082-55976278,5q11,yes,,hepatocellular carcinoma,,,E,Dom,,O,,,,"3572,CDw130,CD130,GP130,GP130-RAPS,IL6R-beta,P40189,ENSG00000134352,IL6ST"
IL7R,interleukin 7 receptor,3575,5:35856978-35876486,5p13,yes,,"ALL, ETP ALL",,,L,Dom,,"Mis, O",,yes,Severe combined immune deficiency,"P16871,IL7R,3575,ENSG00000168685,CD127,CDW127,IL-7R-alpha"
IRF4,interferon regulatory factor 4,3662,6:393154-407599,6p25-p23,yes,,MM,,,L,Dom,oncogene/TSG,T,IGH,,,"3662,LSIRF,Q15306,ENSG00000137265,IRF4"
ITK,IL2-inducible T-cell kinase,3702,5:157180978-157252678,5q31-q32,yes,,peripheral T-cell lymphoma,,,L,Dom,,T,SYK,,,"ITK,PSCTK2,MGC126257,LYK,MGC126258,EMT,ENSG00000113263,Q08881,3702"
JAK1,Janus kinase 1,3716,1:64834562-64886264,1p32.3-p31.3,yes,,ALL,,,L,Dom,,Mis,,,,"P23458,ENSG00000162434,JAK1_ENST00000342505,3716,JAK1A,JAK1B,JTK3"
JAK2,Janus kinase 2,3717,9:5021988-5126791,9p24,yes,,"ALL, AML, MPN,  CML",,,L,Dom,oncogene,"T, Mis, O","ETV6, PCM1, BCR",,,"O60674,ENSG00000096968,JAK2_ENST00000381652,3717,JTK10"
JAK3,Janus kinase 3,3718,19:17826743-17844417,19p13.1,yes,,"acute megakaryocytic leukaemia, ETP ALL",,,L,Dom,,Mis,,,,"3718,L-JAK,JAK3_HUMAN,LJAK,JAK-3,JAKL,P52333,ENSG00000105639,JAK3"
JAZF1,juxtaposed with another zinc finger gene 1,221895,7:27832800-28180577,7p15.2-p15.1,yes,,endometrial stromal tumour,,,M,Dom,,T,SUZ12,,,"221895,Q86VZ6,ENSG00000153814,JAZF1"
JUN,jun oncogene,3725,1:58782075-58783070,1p32-p31,yes,,sarcoma,,,M,Dom,,A,,,,"JUN,P05412,c-Jun,AP1,ENSG00000177606,3725"
KAT6A,K(lysine) acetyltransferase 6A,7994,8:-,8p11,yes,,AML,,,L,Dom,,T,"CREBBP, NCOA2, EP300",,,
KAT6B,K(lysine) acetyltransferase 6B,23522,10:74842858-75031046,10q22.2,yes,,AML,,,L,Dom,,T,CREBBP,,,"23522,DKFZp313G1618,FLJ90335,KIAA0383,MORF,MOZ2,qkf,querkopf,Q8WYB5,ENSG00000156650,KAT6B,MYST4"
KCNJ5,"potassium inwardly-rectifying channel; subfamily J; member 5",3762,11:128911274-128916731,11q24,yes,,adrenal adenoma,,,E,Dom,,Mis,,yes,"Familial hyperaldosteronism type III, Long QT syndrome","3762,ENSG00000120457,GIRK4,KATP1,KIR3_4,P48544,KCNJ5"
KDM5A,"lysine (K)-specific demethylase 5A, JARID1A",5927,12:285456-389091,12p11,yes,,AML,,,L,Dom,,T,NUP98,,,"5927,RBBP2,ENSG00000073614,JARID1A,JARID1A"
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),8242,X:53192967-53224889,Xp11.22-p11.21,yes,,clear cell renal carcinoma,,,E,Rec,,"N, F, S, Mis",,yes, X-linked mental retardation syndromic Claes-Jensen-type.,"SMCX,XE169,RP11-258C19_2,MRXJ,MRXSJ,DXS1272E,ENSG00000126012,SMCX,8242,JARID1C"
KDM6A,"lysine (K)-specific demethylase 6A, UTX",7403,X:44873552-45111411,Xp11.2,yes,,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,,"D, N, F, S",,yes,Kabuki syndrome,"UTX,O15550,bA386N14_2,MGC141941,RP13-886N14_3,DKFZp686A03225,ENSG00000147050,7403,UTX"
KDR,vascular endothelial growth factor receptor 2,3791,4:55079941-55125293,4q11-q12,yes,,"NSCLC, angiosarcoma",,,E,Dom,,Mis,,,,"3791,VEGFR2,FLK1,CD309,VEGFR,P35968,ENSG00000128052,KDR"
KDSR,3-ketodihydrosphingosine reductase,2531,18:63331782-63367118,18q21.3,yes,,B-NHL,,,L,Dom,,T,IGK,,,"FVT1,Q06136,FVT1,ENSG00000119537,2531"
KIAA1549,KIAA1549,57670,7:138837906-138919418,7q34,yes,,pilocytic astrocytoma,,,O,Dom,,T,BRAF,,,"57670,ENSG00000122778,KIAA1549"
KIAA1598,KIAA1598,57698,10:116886555-117005079,10q25.3,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,,,"57698,ENSG00000187164,DKFZp686A0439,MGC40476,shootin-1,shootin1,KIAA1598"
KIF5B,kinesin family member 5B,3799,10:32009010-32055973,10p11.22,yes,,"NSCLC, Spitzoid tumour",,,E,Dom,,T,"RET, ALK",,,"3799,ENSG00000170759,KINH,KNS,KNS1,UKHC,P33176,KIF5B"
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,3815,4:54658015-54738557,4q12,yes,yes,"GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma",familial gastrointestinal stromal tumour,"L, M, O, E",Dom,oncogene,"Mis, O",,yes,Piebald trait,"3815,C-Kit,P10721,SCFR,CD117,ENSG00000157404,KIT"
KLF4,Kruppel-like factor 4,9314,9:107485751-107489172,9q31,yes,,meningioma,,,O,Dom,oncogene,Mis,,,,"KLF4,EZF,O43474,GKLF,ENSG00000136826,9314"
KLF6,Kruppel-like factor 6,1316,10:3779539-3785014,10p15,yes,,"prostate, glioma",,,"E, O",Rec,,"Mis, N",,,,"1316,RP11-184A2_1,BCD1,GBF,PAC1,ZF9,COPEB,Zf9,CPBP,DKFZp686N0199,ST12,ENSG00000067082,KLF6"
KLK2,kallikrein-related peptidase 2,3817,19:50873474-50878559,19q13.41,yes,,prostate,,,E,Dom,,T,ETV4,,,"KLK2,P20151,KLK2A2,hK2,MGC12201,ENSG00000167751,3817"
KMT2A,lysine (K)-specific methyltransferase 2A,4297,11:118436513-118522172,11q23,yes,,"AML, ALL",,,L,Dom,oncogene,"T, O","KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18",,,"KMT2A,TRX1,CXXC7,MLL1A,ALL-1,HRX,HTRX1,MLL/GAS7,ENSG00000118058,MLL,4297"
KMT2C,lysine (K)-specific methyltransferase 2C,58508,7:152136832-152435786,7q36.1,yes,,medulloblastoma,,,O,Rec,,N,,,,"KMT2C,ENSG00000055609,58508,MLL3"
KMT2D,lysine (K)-specific methyltransferase 2D,8085,12:49021780-49055324,12q13.12,yes,,"medulloblastoma, renal",,,"O, E",Rec,,"N, F, Mis",,,,"KMT2D,ENSG00000167548,MLL2,8085"
KRAS,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,3845,12:25209795-25245384,12p12.1,yes,,"pancreatic, colorectal, lung, thyroid, AML, other tumour types",,,"L, E, M, O",Dom,oncogene,Mis,,,,"KRAS,C-K-RAS,RASK2,K-RAS2B,KRAS1,K-RAS4B,K-RAS2A,K-RAS4A,KRAS2,KI-RAS,NS3,P01116,3845"
KTN1,kinectin 1 (kinesin receptor),3895,14:55612050-55680691,14q22.1,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"KTN1,Q86UP2,CG1,KIAA0004,ENSG00000126777,3895"
LASP1,LIM and SH3 protein 1,3927,17:38870190-38918778,17q11-q21.3,yes,,AML,,,L,Dom,,T,KMT2A,,,"3927,ENSG00000002834,Lasp-1,MLN50,Q14847,LASP1"
LCK,lymphocyte-specific protein tyrosine kinase,3932,1:32274330-32285716,1p35-p34.3,yes,,T-ALL,,,L,Dom,,T,TRB,,,"3932,YT16,pp58lck,p56lck,ENSG00000182866,P06239,LCK"
LCP1,lymphocyte cytosolic protein 1 (L-plastin),3936,13:46127591-46159662,13q14.1-q14.3,yes,,NHL,,,L,Dom,,T,BCL6,,,"LCP1,CP64,LC64P,PLS2,FLJ26114,P13796,FLJ25423,L-PLASTIN,DKFZp781A23186,FLJ39956,ENSG00000136167,3936"
LEF1,lymphoid enhancer binding factor 1,51176,4:108063629-108167767,4q25,yes,,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,oncogene/TSG,"Mis, N",,,,"51176,TCF1ALPHA,DKFZp586H0919,Q9UJU2,ENSG00000138795,LEF1"
LHFP,lipoma HMGIC fusion partner,10186,13:39343936-39601216,13q12,yes,,lipoma,,,M,Dom,,T,HMGA2,,,"LHFP,MGC22429,ENSG00000183722,10186"
LIFR,leukemia inhibitory factor receptor,3977,5:38481595-38530647,5p13-p12,yes,,salivary adenoma,,,E,Dom,,T,PLAG1,,,"LIFR,SJS2,CD118,STWS,SWS,ENSG00000113594,3977"
LMNA,lamin A/C,4000,1:156114919-156139106,1q22,yes,,Spitzoid tumour,,,E,Dom,,T,NTRK1,yes,"Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others","LMNA,EMD2,FPL,CMT2B1,LMN1,CDCD1,CMD1A,IDC,LFP,P02545,HGPS,CDDC,FPLD,LMNC,PRO1,LDP1,LGMD1B,ENSG00000160789,4000"
LMO1,LIM domain only 1 (rhombotin 1) (RBTN1),4004,11:8224616-8268634,11p15,yes,yes,"T-ALL, neuroblastoma",neuroblastoma,,L,Dom,,"T, A",TRD,,,"LMO1,RBTN1,TTG1,RHOM1,P25800,ENSG00000166407,4004"
LMO2,LIM domain only 2 (rhombotin-like 1) (RBTN2),4005,11:33859356-33869386,11p13,yes,,T-ALL,,,L,Dom,,T,TRD,,,"4005,RBTN2,RHOM2,RBTNL1,TTG2,P25791,ENSG00000135363,LMO2"
LPP,LIM domain containing preferred translocation partner in lipoma,4026,3:188406122-188874480,3q28,yes,,"lipoma, leukaemia",,,"L, M",Dom,,T,"HMGA2, KMT2A, C12orf9",,,"4026,Q93052,ENSG00000145012,LPP"
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,121227,12:58872572-58920235,12q14.1,yes,,NSCLC,,,E,Dom,,T,ROS1,,,"121227,Q6UXM1,FLJ26573,KIAA3016,FLJ90440,ENSG00000139263,LRIG3"
LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",26065,19:34172643-34227388,19q13.11,yes,,Spitzoid tumour,,,E,Dom,,T,BRAF,,,"26065,ENSG00000105216,C19orf13,DKFZP434D1335,FAM61A,RAP55,LSM14A"
LYL1,lymphoblastic leukemia derived sequence 1,4066,19:13099319-13101171,19p13.2-p13.1,yes,,T-ALL,,,L,Dom,,T,TRB,,,"LYL1,P12980,ENSG00000104903,4066"
LZTR1,leucine-zipper-like transcription regulator 1,8216,22:20982372-20997348,22q11.21,yes,yes,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,yes,Noonan syndrome 10,"8216,ENSG00000099949,LZTR-1,MGC21205,TCFL2,Q8N653,LZTR1"
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,4094,16:79594460-79599902,16q22-q23,yes,,MM,,,L,Dom,,T,IGH,,,"MAF,MGC71685,ENSG00000178573,4094"
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935,20:40687879-40688850,20q11.2-q13.1,yes,,MM,,,L,Dom,,T,IGH,,,"MAFB,Q9Y5Q3,KRML,MGC43127,ENSG00000204103,9935"
MALAT1,"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)",378938,11:65502644-65502817,11q31.1,yes,,"renal cell carcinoma (childhood epithelioid), lung",,,E,Dom,,T,TFEB,,,"MALAT1,PRO1073,Q9UHZ2,378938"
MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,10892,18:58671645-58747843,18q21,yes,,MALT,,,L,Dom,,T,BIRC3,,,"MALT1,ENSG00000172175,10892"
MAML2,mastermind-like 2 (Drosophila),84441,11:95978948-96341895,11q22-q23,yes,,salivary gland mucoepidermoid,,,E,Dom,,T,"CRTC3, CRTC1",,,"84441,MAM3,MAM2,DKFZp686N0150,KIAA1819,Q8IZL2,MLL-MAML2,MAM-3,ENSG00000184384,MAML2"
MAP2K1,mitogen-activated protein kinase kinase 1,5604,15:66387348-66490615,15q22.1-q22.33,yes,,"NSCLC, melanoma, colorectal",,,E,Dom,,Mis,,yes,Cardiofaciocutaneous syndrome,"5604,MAPKK1,PRKMK1,MKK1,MEK1,Q02750,ENSG00000169032,MAP2K1"
MAP2K2,mitogen-activated protein kinase kinase 2,5605,19:4090598-4123875,19p13.3,yes,,"NSCLC, melanoma",,,E,Dom,,Mis,,yes,Cardiofaciocutaneous syndrome,"MAP2K2,MEK2,PRKMK2,MAPKK2,MKK2,P36507,ENSG00000126934,5605"
